# 60km, 70km, 80km, 90km, 100km, 110km, 120km, 130km, 140km, 150km, 160km, 170km, 180km, 190km, 200km, 210km, 220km, 230km, 240km, 250km, 300km, 350km, 400km, 450km, 500km, 550km, 600km, 650km, 700km, 750km, 800km, 850km, 900km, 950km, 1000km
1.1571e-01,1.0714e-01,1.0020e-01,9.4491e-02,8.9662e-02,8.5483e-02,8.1818e-02,7.8563e-02,7.5786e-02,7.3130e-02,7.0833e-02,6.8705e-02,6.6826e-02,6.4859e-02,6.3244e-02,6.1777e-02,6.0416e-02,5.9008e-02,5.7836e-02,5.6463e-02,5.1362e-02,4.7936e-02,4.4736e-02,4.1821e-02,3.9621e-02,3.7795e-02,3.6149e-02,3.4843e-02,3.3793e-02,3.2679e-02,3.1601e-02,3.0533e-02,2.9824e-02,2.8942e-02,2.8320e-02
1.1564e-01,1.0708e-01,1.0014e-01,9.4433e-02,8.9608e-02,8.5431e-02,8.1768e-02,7.8515e-02,7.5739e-02,7.3086e-02,7.0791e-02,6.8663e-02,6.6785e-02,6.4821e-02,6.3205e-02,6.1744e-02,6.0378e-02,5.8972e-02,5.7799e-02,5.6431e-02,5.1333e-02,4.7908e-02,4.4711e-02,4.1792e-02,3.9594e-02,3.7779e-02,3.6128e-02,3.4819e-02,3.3770e-02,3.2660e-02,3.1583e-02,3.0515e-02,2.9804e-02,2.8922e-02,2.8303e-02
1.1557e-01,1.0701e-01,1.0008e-01,9.4376e-02,8.9554e-02,8.5380e-02,8.1719e-02,7.8467e-02,7.5693e-02,7.3041e-02,7.0749e-02,6.8622e-02,6.6745e-02,6.4783e-02,6.3167e-02,6.1711e-02,6.0341e-02,5.8936e-02,5.7763e-02,5.6398e-02,5.1304e-02,4.7880e-02,4.4687e-02,4.1764e-02,3.9566e-02,3.7764e-02,3.6108e-02,3.4795e-02,3.3748e-02,3.2641e-02,3.1565e-02,3.0497e-02,2.9784e-02,2.8901e-02,2.8286e-02
1.1550e-01,1.0695e-01,1.0002e-01,9.4318e-02,8.9500e-02,8.5328e-02,8.1669e-02,7.8420e-02,7.5647e-02,7.2996e-02,7.0707e-02,6.8580e-02,6.6705e-02,6.4746e-02,6.3128e-02,6.1678e-02,6.0304e-02,5.8900e-02,5.7726e-02,5.6366e-02,5.1275e-02,4.7852e-02,4.4662e-02,4.1736e-02,3.9539e-02,3.7749e-02,3.6087e-02,3.4772e-02,3.3726e-02,3.2622e-02,3.1548e-02,3.0479e-02,2.9764e-02,2.8881e-02,2.8270e-02
1.1543e-01,1.0688e-01,9.9959e-02,9.4261e-02,8.9445e-02,8.5277e-02,8.1620e-02,7.8372e-02,7.5601e-02,7.2951e-02,7.0665e-02,6.8538e-02,6.6665e-02,6.4708e-02,6.3089e-02,6.1644e-02,6.0267e-02,5.8864e-02,5.7689e-02,5.6334e-02,5.1246e-02,4.7824e-02,4.4637e-02,4.1708e-02,3.9512e-02,3.7734e-02,3.6067e-02,3.4748e-02,3.3704e-02,3.2603e-02,3.1530e-02,3.0461e-02,2.9744e-02,2.8860e-02,2.8253e-02
1.1536e-01,1.0682e-01,9.9899e-02,9.4204e-02,8.9391e-02,8.5225e-02,8.1571e-02,7.8325e-02,7.5555e-02,7.2907e-02,7.0622e-02,6.8497e-02,6.6625e-02,6.4670e-02,6.3050e-02,6.1611e-02,6.0230e-02,5.8828e-02,5.7652e-02,5.6302e-02,5.1217e-02,4.7796e-02,4.4613e-02,4.1680e-02,3.9485e-02,3.7719e-02,3.6047e-02,3.4724e-02,3.3682e-02,3.2584e-02,3.1513e-02,3.0444e-02,2.9724e-02,2.8840e-02,2.8236e-02
1.1529e-01,1.0675e-01,9.9839e-02,9.4146e-02,8.9337e-02,8.5174e-02,8.1522e-02,7.8277e-02,7.5508e-02,7.2862e-02,7.0581e-02,6.8455e-02,6.6585e-02,6.4633e-02,6.3012e-02,6.1578e-02,6.0193e-02,5.8793e-02,5.7615e-02,5.6270e-02,5.1188e-02,4.7768e-02,4.4588e-02,4.1652e-02,3.9458e-02,3.7704e-02,3.6026e-02,3.4700e-02,3.3660e-02,3.2565e-02,3.1495e-02,3.0426e-02,2.9705e-02,2.8820e-02,2.8220e-02
1.1522e-01,1.0669e-01,9.9780e-02,9.4089e-02,8.9284e-02,8.5123e-02,8.1472e-02,7.8230e-02,7.5462e-02,7.2818e-02,7.0539e-02,6.8414e-02,6.6545e-02,6.4596e-02,6.2973e-02,6.1545e-02,6.0156e-02,5.8757e-02,5.7577e-02,5.6238e-02,5.1159e-02,4.7740e-02,4.4563e-02,4.1624e-02,3.9432e-02,3.7690e-02,3.6006e-02,3.4677e-02,3.3638e-02,3.2547e-02,3.1478e-02,3.0409e-02,2.9685e-02,2.8800e-02,2.8203e-02
1.1515e-01,1.0662e-01,9.9720e-02,9.4032e-02,8.9230e-02,8.5072e-02,8.1423e-02,7.8183e-02,7.5416e-02,7.2774e-02,7.0497e-02,6.8373e-02,6.6505e-02,6.4559e-02,6.2935e-02,6.1512e-02,6.0120e-02,5.8721e-02,5.7540e-02,5.6206e-02,5.1130e-02,4.7712e-02,4.4539e-02,4.1596e-02,3.9406e-02,3.7675e-02,3.5986e-02,3.4653e-02,3.3617e-02,3.2528e-02,3.1460e-02,3.0392e-02,2.9665e-02,2.8780e-02,2.8187e-02
1.1508e-01,1.0656e-01,9.9661e-02,9.3976e-02,8.9176e-02,8.5021e-02,8.1375e-02,7.8136e-02,7.5371e-02,7.2730e-02,7.0455e-02,6.8331e-02,6.6465e-02,6.4521e-02,6.2896e-02,6.1480e-02,6.0083e-02,5.8686e-02,5.7503e-02,5.6174e-02,5.1101e-02,4.7684e-02,4.4514e-02,4.1568e-02,3.9379e-02,3.7661e-02,3.5966e-02,3.4629e-02,3.3595e-02,3.2509e-02,3.1443e-02,3.0375e-02,2.9645e-02,2.8760e-02,2.8170e-02
1.1501e-01,1.0650e-01,9.9602e-02,9.3919e-02,8.9123e-02,8.4970e-02,8.1326e-02,7.8089e-02,7.5325e-02,7.2685e-02,7.0413e-02,6.8290e-02,6.6426e-02,6.4484e-02,6.2858e-02,6.1447e-02,6.0046e-02,5.8650e-02,5.7466e-02,5.6143e-02,5.1072e-02,4.7656e-02,4.4489e-02,4.1541e-02,3.9354e-02,3.7647e-02,3.5945e-02,3.4606e-02,3.3573e-02,3.2491e-02,3.1425e-02,3.0359e-02,2.9625e-02,2.8741e-02,2.8153e-02
1.1494e-01,1.0643e-01,9.9543e-02,9.3862e-02,8.9069e-02,8.4919e-02,8.1277e-02,7.8042e-02,7.5279e-02,7.2641e-02,7.0371e-02,6.8249e-02,6.6386e-02,6.4447e-02,6.2820e-02,6.1414e-02,6.0009e-02,5.8615e-02,5.7428e-02,5.6111e-02,5.1044e-02,4.7628e-02,4.4464e-02,4.1513e-02,3.9328e-02,3.7633e-02,3.5925e-02,3.4582e-02,3.3552e-02,3.2472e-02,3.1408e-02,3.0342e-02,2.9606e-02,2.8721e-02,2.8137e-02
1.1487e-01,1.0637e-01,9.9484e-02,9.3806e-02,8.9016e-02,8.4868e-02,8.1228e-02,7.7995e-02,7.5233e-02,7.2597e-02,7.0330e-02,6.8208e-02,6.6346e-02,6.4411e-02,6.2782e-02,6.1381e-02,5.9973e-02,5.8579e-02,5.7391e-02,5.6080e-02,5.1015e-02,4.7599e-02,4.4440e-02,4.1486e-02,3.9303e-02,3.7619e-02,3.5905e-02,3.4559e-02,3.3531e-02,3.2454e-02,3.1390e-02,3.0326e-02,2.9586e-02,2.8702e-02,2.8120e-02
1.1481e-01,1.0630e-01,9.9425e-02,9.3749e-02,8.8963e-02,8.4818e-02,8.1180e-02,7.7948e-02,7.5187e-02,7.2553e-02,7.0288e-02,6.8167e-02,6.6307e-02,6.4374e-02,6.2744e-02,6.1348e-02,5.9936e-02,5.8544e-02,5.7353e-02,5.6049e-02,5.0986e-02,4.7571e-02,4.4415e-02,4.1459e-02,3.9277e-02,3.7605e-02,3.5885e-02,3.4536e-02,3.3509e-02,3.2436e-02,3.1373e-02,3.0310e-02,2.9566e-02,2.8683e-02,2.8104e-02
1.1474e-01,1.0624e-01,9.9366e-02,9.3693e-02,8.8910e-02,8.4767e-02,8.1131e-02,7.7901e-02,7.5142e-02,7.2510e-02,7.0246e-02,6.8127e-02,6.6267e-02,6.4337e-02,6.2706e-02,6.1315e-02,5.9900e-02,5.8509e-02,5.7316e-02,5.6018e-02,5.0958e-02,4.7543e-02,4.4390e-02,4.1432e-02,3.9252e-02,3.7591e-02,3.5865e-02,3.4513e-02,3.3488e-02,3.2417e-02,3.1356e-02,3.0294e-02,2.9546e-02,2.8663e-02,2.8087e-02
1.1467e-01,1.0618e-01,9.9307e-02,9.3637e-02,8.8856e-02,8.4717e-02,8.1083e-02,7.7855e-02,7.5096e-02,7.2466e-02,7.0204e-02,6.8086e-02,6.6227e-02,6.4301e-02,6.2668e-02,6.1282e-02,5.9863e-02,5.8473e-02,5.7278e-02,5.5987e-02,5.0929e-02,4.7514e-02,4.4365e-02,4.1405e-02,3.9228e-02,3.7577e-02,3.5845e-02,3.4489e-02,3.3467e-02,3.2399e-02,3.1338e-02,3.0278e-02,2.9527e-02,2.8644e-02,2.8071e-02
1.1460e-01,1.0611e-01,9.9249e-02,9.3580e-02,8.8804e-02,8.4666e-02,8.1035e-02,7.7808e-02,7.5050e-02,7.2422e-02,7.0163e-02,6.8045e-02,6.6188e-02,6.4264e-02,6.2630e-02,6.1249e-02,5.9827e-02,5.8438e-02,5.7241e-02,5.5956e-02,5.0900e-02,4.7486e-02,4.4341e-02,4.1378e-02,3.9203e-02,3.7564e-02,3.5825e-02,3.4466e-02,3.3446e-02,3.2381e-02,3.1321e-02,3.0262e-02,2.9507e-02,2.8626e-02,2.8054e-02
1.1453e-01,1.0605e-01,9.9191e-02,9.3524e-02,8.8751e-02,8.4616e-02,8.0986e-02,7.7762e-02,7.5005e-02,7.2379e-02,7.0121e-02,6.8005e-02,6.6148e-02,6.4228e-02,6.2592e-02,6.1216e-02,5.9790e-02,5.8403e-02,5.7203e-02,5.5925e-02,5.0872e-02,4.7457e-02,4.4316e-02,4.1351e-02,3.9179e-02,3.7550e-02,3.5805e-02,3.4443e-02,3.3425e-02,3.2363e-02,3.1304e-02,3.0247e-02,2.9487e-02,2.8607e-02,2.8038e-02
1.1446e-01,1.0599e-01,9.9132e-02,9.3468e-02,8.8698e-02,8.4566e-02,8.0938e-02,7.7715e-02,7.4959e-02,7.2335e-02,7.0080e-02,6.7964e-02,6.6109e-02,6.4191e-02,6.2554e-02,6.1183e-02,5.9754e-02,5.8368e-02,5.7165e-02,5.5894e-02,5.0843e-02,4.7429e-02,4.4291e-02,4.1325e-02,3.9155e-02,3.7537e-02,3.5785e-02,3.4420e-02,3.3404e-02,3.2345e-02,3.1287e-02,3.0231e-02,2.9468e-02,2.8588e-02,2.8021e-02
1.1440e-01,1.0592e-01,9.9074e-02,9.3412e-02,8.8645e-02,8.4516e-02,8.0890e-02,7.7669e-02,7.4914e-02,7.2292e-02,7.0038e-02,6.7924e-02,6.6070e-02,6.4155e-02,6.2517e-02,6.1150e-02,5.9718e-02,5.8333e-02,5.7128e-02,5.5863e-02,5.0815e-02,4.7400e-02,4.4266e-02,4.1298e-02,3.9131e-02,3.7523e-02,3.5765e-02,3.4398e-02,3.3383e-02,3.2327e-02,3.1269e-02,3.0216e-02,2.9448e-02,2.8570e-02,2.8005e-02
1.1433e-01,1.0586e-01,9.9016e-02,9.3357e-02,8.8593e-02,8.4466e-02,8.0842e-02,7.7623e-02,7.4869e-02,7.2248e-02,6.9997e-02,6.7883e-02,6.6030e-02,6.4119e-02,6.2479e-02,6.1116e-02,5.9681e-02,5.8299e-02,5.7090e-02,5.5833e-02,5.0786e-02,4.7372e-02,4.4241e-02,4.1272e-02,3.9107e-02,3.7510e-02,3.5745e-02,3.4375e-02,3.3362e-02,3.2309e-02,3.1252e-02,3.0201e-02,2.9428e-02,2.8551e-02,2.7989e-02
1.1426e-01,1.0580e-01,9.8958e-02,9.3301e-02,8.8540e-02,8.4416e-02,8.0794e-02,7.7577e-02,7.4823e-02,7.2205e-02,6.9955e-02,6.7843e-02,6.5991e-02,6.4083e-02,6.2442e-02,6.1083e-02,5.9645e-02,5.8264e-02,5.7053e-02,5.5802e-02,5.0758e-02,4.7343e-02,4.4216e-02,4.1245e-02,3.9084e-02,3.7497e-02,3.5725e-02,3.4352e-02,3.3342e-02,3.2291e-02,3.1235e-02,3.0186e-02,2.9409e-02,2.8533e-02,2.7972e-02
1.1419e-01,1.0574e-01,9.8900e-02,9.3245e-02,8.8488e-02,8.4366e-02,8.0746e-02,7.7531e-02,7.4778e-02,7.2162e-02,6.9914e-02,6.7803e-02,6.5952e-02,6.4047e-02,6.2404e-02,6.1050e-02,5.9609e-02,5.8229e-02,5.7015e-02,5.5772e-02,5.0729e-02,4.7314e-02,4.4191e-02,4.1219e-02,3.9061e-02,3.7483e-02,3.5705e-02,3.4329e-02,3.3321e-02,3.2273e-02,3.1218e-02,3.0171e-02,2.9389e-02,2.8515e-02,2.7956e-02
