net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km,result
1C,NASO,1.172,36.359,XJ,LL23,-2.297,35.69,1199,390.7434419,1
AF,AAUS,9.035,38.766,2H,SEME,11.793,41.004,1716,391.2848104,1
XA,SA23,-27.93,23.405,XA,SA81,-30.925,21.268,5192,391.3909432,1
XI,NAZA,8.568,39.291,XI,BAHI,11.574000000000002,37.393,2959,392.2026713,1
YH,IFAK,-8.14,36.683,YH,INDI,-10.017,39.715,1716,392.6690073,2
ZV,NEMA,-7.52,31.044,YQ,GAWA,-8.765,34.386,3685,393.1929814,1
XK,W09TK,-12.108,34.046,XK,Q07MR,-13.197,37.499,7205,393.9747599,2
AF,ANKE,9.583,39.742,2H,HITE,13.101,40.317,5841,394.1801714,1
XA,SA28,-27.898000000000003,28.066,XA,SA30,-27.072,24.165,2651,396.2136889,2
6A,WP18,-19.175,15.884,AF,WIN,-22.567,17.1,4653,396.283289,2
1C,NATN,1.041,36.123000000000005,XJ,LL22,-2.52,35.599000000000004,1782,398.0520316,1
ZV,KASA,-8.437999999999999,31.147,YQ,TOLA,-9.592,34.584,4070,398.8736882,1
XB,PM17,34.391,-5.295,PM,PVAQ,37.404,-7.717,9185,399.43291760000005,1
XB,PS41,36.667,-5.944,XB,PM23,33.128,-5.03,9999,401.3953298,1
1C,MCN1,-0.1939999999999999,36.083,AF,TEBE,0.054,32.483000000000004,1243,401.6866915,1
XI,FICH,9.782,38.737,XI,CHEF,6.1610000000000005,38.21,2255,404.65957,1
ZP,KGMA,-4.878,29.633000000000003,ZP,MLBA,-1.838,31.67,3069,405.2580498,2
ZV,KARA,-6.822,30.439,YQ,ILIN,-9.082,33.333,4543,405.3044033000001,1
XB,PM20,33.906,-5.033,XB,PS60,37.327,-3.452,4180,405.6741753,1
XB,PM22,33.295,-5.107,3D,MM10,30.53,-7.928,1287,406.3991748,2
XB,PM09,35.027,-5.114,XB,PM33,31.432,-4.243,4785,406.8922395,1
XB,PS47,36.87,-4.079,MN,RTC,33.988,-6.857,7139,407.2388198,1
XB,PS07,36.671,-4.799,XB,PM24,32.995,-4.898,8514,407.9072737,1
AF,DODT,-6.186,35.748000000000005,YQ,MBHS,-9.431,33.985,6743,408.1606442,1
ZV,KISA,-7.19,31.023000000000003,YQ,MAKE,-9.265,34.097,3850,409.1054844,1
XB,PS33,38.157,-4.906000000000001,XB,PM15,34.469,-4.7,9900,409.6562318,1
XA,SA19,-28.906,24.833,XA,SA81,-30.925,21.268,1837,410.5780582,2
